2.390342284091023228e-01,2.616323533479363306e-01,4.867394547733335242e-01
2.421845306330789593e-01,2.881658533040443726e-01,4.906380197000060894e-01
2.465469119219273753e-01,3.249174274058668765e-01,4.960414876032394615e-01
2.506332905151307244e-01,3.593434572715371589e-01,5.011029172921643848e-01
2.544905870215337651e-01,3.918389195555341264e-01,5.058802609980114218e-01
2.582464431722353293e-01,4.234789179989413843e-01,5.105314981822992593e-01
2.619669257618222336e-01,4.548311969616221639e-01,5.151443703144649167e-01
2.656134399591164597e-01,4.853837514555673915e-01,5.195721037039299217e-01
2.679976765699894070e-01,5.131980284812944770e-01,5.266184012108368062e-01
2.703942054765349767e-01,5.465675311501585476e-01,5.365673859120951850e-01
2.728193255268720474e-01,5.500000000000000444e-01,5.462297960280818598e-01
2.752480188115403736e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.776777478897217710e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.801077896681783419e-01,5.500000000000000444e-01,5.500000000000000444e-01
2.825379750991759975e-01,5.500000000000000444e-01,5.500000000000000444e-01
